sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
SXM-901182-0370-G1c	B08D7CNPZY	12.95	0																					
SXM-901182-0371-G1	B089Y37QDY	18.08	0																					
SXM-901182-0371-G1c	B08D7CK75C	17.95	0																					
SXM-901182-0372-G1	B089YJZQXC	17.95	0																					
SXM-901182-0372-G1c	B08D79VRVJ	17.95	0																					
SXM-901182-0383-G1b	B08D7B5DV1	20.98	0																					
SXM-901182-0384-G1b	B08D7BVWMQ	26.98	0																					
SXM-901182-0386-G1	B08BP4NLSQ	129.99	0																					
SXM-901182-0403-G1a	B08XW6HWM2	24.99	0																					
SXM-901182-0404-G1a	B08XVTSGJY	24.99	0																					
SXM-901182-0405-G1a	B08XWQ6XZR	36.99	0																					
SXM-901182-0406-G1a	B08XW3PFY3	24.99	0																					
SXM-901182-0407-G1a	B08XW9QDSX	24.99	0																					
SXM-901182-0408-G1a	B08XW29MQ2	36.99	0																					
SXM-901182-0435-G1	B08W9MZL5N	99.99	0																					
SXM-901182-0436-G1	B08W8JQ7LR	99.99	0																					
SXM-901182-0437-G1	B08W9W9M3R	99.99	0																					
SXM-901182-0438-G1	B08W9GWQGZ	110.99	0																					
SXM-901182-0439-G1	B08W8LK91G	99.99	0																					
SXM-901182-0440-G1	B08W9N1JFM	99.99	0																					
SXM-901182-0441-G1	B08W9C359F	89.99	0																					
SXM-901182-0442-G1	B08W8Y688M	89.99	0																					
SXM-901182-0443-G1	B08W98G9C2	89.99	0																					
SXM-901182-0444-G1	B08W9M7CMS	89.99	0																					
SXM-901182-0445-G1	B08W8Y942D	89.99	0																					
SXM-901182-0446-G1	B08W8FXXJL	89.99	0																					
SXM-901182-0459-G1	B0813FCFC4	44.98	0																					
SXM-901182-0459-G1a	B0813DM1C3	48.98	0																					
SXM-901182-0459-G1b	B0813F6D35	45.98	0																					
SXM-901182-0476-B1	B08Y6KHDSX	33.98	0																					
SXM-901182-0476-M1	B08Y6KHDSX	26.98	0																					
SXM-901182-0477-B1	B08Y6GN2JD	38.98	0																					
SXM-901182-0477-M1	B08Y6GN2JD	26.98	0																					
SXM-901182-0478-B1	B08Y6HP7ZT	36.98	0																					
SXM-901182-0478-M1	B08Y6HP7ZT	31.98	0																					
SXM-901182-0479-B1	B08Y6NLDL8	35.98	0																					
SXM-901182-0479-M1	B08Y6NLDL8	35.98	0																					
SXM-901182-0480-B1	B08Y6GL3PV	42.98	0																					
SXM-901182-0480-M1	B08Y6GL3PV	35.98	0																					
SXM-901182-0481-B1	B08Y6MPFR4	35.98	0																					
SXM-901182-0481-M1	B08Y6MPFR4	35.98	0																					
