sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
SXM-5591-G5d	B08WSCMJ3H	27.99	48																					
SXM-5628-G1a	B092ZRPJ61	39.99	29																					false
SXM-5635-G1	B08ZKTT1XP	92.99	100																					
SXM-5643-G1	B07W8HD14Q	76.69	60																					
SXM-5669-G1	B08ZKVTFC2	119.99	88																					
SXM-5670-G1	B07WHZ1M1W	35.99	50																					
SXM-5678-G1	B0817XBPJ2	11.99	27																					false
SXM-5686-G1b	B0897LNSJT	30.89	1																					false
SXM-5687-G1b	B0897MC59N	40.89	41																					false
SXM-5688-G1b	B0897MLB83	40.89	50																					false
SXM-5689-G1b	B0897KYWJ8	40.89	40																					false
SXM-5713-G1	B08T5M4NLW	44.95	100																					false
SXM-5753-G2m	B08VNFZFZJ	10.99	30																					
SXM-5753-G3m	B08VNYJ6QB	13.99	30																					
SXM-5754-G2m	B08VNWG4QG	12.99	30																					
SXM-5754-G3m	B08VNRD8QX	15.99	30																					
SXM-5755-G2m	B08VNQZ3GS	14.99	30																					
SXM-5755-G3m	B08VN5664Q	18.99	30																					
SXM-5762-G1a	B07WR97KZD	31.89	47																					false
SXM-5947-G1	B08D7C8CP6	10.99	45																					
SXM-5949-G1	B08D7CK75C	17.69	41																					
SXM-5950-G1c	B08D79VRVJ	16.99	19																					
SXM-6056-G1	B082PP8BC8	43.99	16																					
SXM-6059-G1a	B08YWMSLQ5	259.90	20																					
SXM-6059-G1b	B08XLQM31X	249.99	17																					false
SXM-6059-G1m	B0873B35KB	260.99	26																					
SXM-6060-G1a	B08YWTBBHB	269.90	15																					
SXM-6060-G1b	B08XLYZ67N	259.99	11																					false
SXM-6060-G1m	B08739VPNB	290.99	30																					
SXM-6061-G1a	B08YX18JZP	279.90	15																					
SXM-6061-G1b	B08XM1RW33	269.99	13																					false
SXM-6061-G1m	B0873B6FN3	320.99	30																					
SXM-6082-G2	B08369H4P9	29.99	20																					
SXM-6112-G1a	B08YX4B7BT	289.99	50																					
SXM-6112-G1b	B08XMLKSN9	279.90	45																					false
SXM-6112-G1m	B0873BKWM3	250.99	22																					
SXM-6113-G1b	B08XM39V25	299.90	19																					false
SXM-6113-G1m	B08739MGTG	280.99	29																					
SXM-6114-G1a	B08YX3VMV3	329.99	25																					
SXM-6114-G1b	B08XM3SK2F	320.99	19																					false
SXM-6114-G1m	B0873BQ84K	310.99	26																					
SXM-6187-G1a	B0991YM223	33.99	37																					
SXM-6193G1a	B088B66PVP	39.99	38																					false
SXM-6217-G1a	B089VPL2ZL	26.59	78																					false
SXM-6217-G1b	B08MW4M6MQ	26.99	49																					
SXM-6217-G1c	B08MVYRHDJ	24.99	50																					
SXM-6217-G1d	B08MW3Z8B9	25.99	50																					
SXM-6246-G1c	B0925T7DV3	24.88	30																					
SXM-6398-G2m	B08Y7Y4LLK	20.99	30																					
SXM-6398-G3m	B08Y7ZK7BX	21.99	30																					
SXM-6399-G2m	B08Y7Y6X4K	22.99	30																					
SXM-6399-G3m	B08Y7Y6ZGB	23.99	30																					
SXM-6400-G2m	B08Y7Z53ZH	24.99	30																					
SXM-6400-G3m	B08Y7YKGMR	25.99	30																					
SXM-6426-G30	B08B4JDMWK	9.99	5																					
SXM-6427-G30	B08B4LMNKJ	9.99	4																					
SXM-6428-G30	B08B4LB7NQ	9.99	19																					
SXM-6460-G1	B08DXSC41B	25.99	28																					
SXM-6476-G1z	B08RBR6L2C	17.99	137																					
SXM-6478-G1r	B08RBV759J	29.99	99																					
SXM-6478-G1z	B08RBQSHLV	26.99	183																					
SXM-6480-G1z	B08RBSJ9K4	33.99	99																					
SXM-6619-G1	B08JPRBBLF	11.99	98																					false
SXM-6656-G1	B08L7D2FZC	14.99	45																					
SXM-6657-G1	B08L7BWBNG	15.99	40																					
SXM-6658-G1	B08L79K9WJ	16.99	48																					
SXM-6659-G1	B08L7CJHBM	17.99	30																					
SXM-6673-G1	B07W7PN6S2	115.99	115																					
SXM-6714-G1	B08PYTMBB6	36.99	30																					
SXM-6766-G1	B08MZM25YX	12.88	20																					
SXM-6767-G1	B08MZMT2TT	15.88	18																					
SXM-6768-G1	B08MZKS5L8	17.88	19																					
SXM-6769-G1	B08MZL1KG9	12.88	19																					
SXM-6770-G1	B08MZJF3Z4	15.88	18																					
SXM-6771-G1	B08MZKT3FL	19.88	16																					
SXM-6772-G1	B08MZMK3DP	12.88	10																					
SXM-6773-G1	B08MZLYYMQ	18.88	20																					
SXM-6774-G1	B08MZKDLRD	21.88	20																					
SXM-6775-G1	B08MZLGMTQ	12.88	19																					
SXM-6776-G1	B08MZMF46Y	18.88	15																					
SXM-6777-G1	B08MZLBM95	21.88	8																					
SXM-6778-G1	B08MZMXVL7	12.88	20																					
SXM-6779-G1	B08MZMRZTR	18.88	10																					
SXM-6780-G1	B08MZMV6K5	21.88	20																					
SXM-6781-G1	B08MZM7VSC	12.88	20																					
SXM-6782-G1	B08MZF4BN8	18.88	9																					
SXM-6783-G1	B08MZK9814	21.88	7																					
SXM-6784-A1a	B08NG9YWNQ	23.99																						false
SXM-6784-G1j	B08NG9YWNQ	23.99	30																					false
SXM-6788-G2a	B08QFLT3DP	24.99	49																					
SXM-6789-G2a	B08QFJDR42	25.99	50																					
SXM-6795-G1	B091CVRDCJ	13.99	97																					
SXM-6796-G1	B091DZX7ZY	12.39	10																					
SXM-6797-G1	B091CKTTNX	12.99	33																					false
SXM-6798-G1	B091F1GL7B	13.99	17																					false
SXM-6800-G1	B091CNL1J1	16.99	40																					
SXM-6800-G1A	B091DYF4QB	16.99	50																					false
SXM-6802-G1	B091CPPL6H	21.99	44																					false
